Name,Cost,Skills,Modifiers
Anão,1,121;55;32,R+1
Elfo,2,124;36,D+1
Elfo Negro,2,121;55;37;116,D+1
Gnomo,2,23;58;107,D+1
Halfling,1,107,D+1;P+1
Meio-Elfo,0,124,0
Meio-Orc,0,121;104,S+1
Alien,2,129;83,D+1
Anfíbio,0,122;68;137,R+1
Centauro,1,107,S+1;D+1
Goblin,-1,121;104,R+1
Kemono,1,57;58;124,D+1
Meio-Dragão,4,6;133,0
Minotauro,0,71;104;91,S+2;R+1
Ogre,2,107;82;104;108,S+3;R+3
Troglodita,2,121;108;137,S+1;A+1
Anjo,2,20;121;124;123;106;137,0
Demônio,1,121;124;123;137;106;104,0
Fada,3,5;66;35;36;107;135,D+1
Licantropo,0,108;135;81;15;116,S+1;A+1
Meio-Abissal,2,121;58;123;129;137,0
Meio-Celestial,2,"121,58;123;129;137",0
Meio-Gênio,4,7;129;71,0
Androide,1,0,0
Ciborgue,0,0,0
Golem,3,127;108;131,0
Mecha,0,107;131,0
Meio-Golem,1,36;99;131,0
Nanomorfo,3,2;41;54;131,0
Robô Positrônico,-2,71;131,0
Esqueleto,0,131;133;128;83;106;79,0
Fantasma,5,132;30;79,0
Múmia,5,131;68;7;126;128,0
Vampiro,-1,131;78;106;37;28;92,0
Zumbi,-2,131;78;82;108,0
